date_added,company,role_title,lane_label,fit_status,audit_flag,source_resume,output_file,snapshot_id,applied_date,current_status,last_round,outcome,notes
2026-05-27,BioTouch,Solutions Implementation Consultant,Implementation and Delivery,Strong Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - BioTouch - Solutions Implementation Consultant FAIL Resume.docx,,,interview,2,,Auto-tracked by resume workflow.
2026-05-27,Boomi,Senior Presales Solutions Engineer,Pre-Sales and Solution Consulting,Strong Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Boomi - Senior Presales Solutions Engineer FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-01,4flow,PreSales Consultant,Implementation and Delivery,,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - 4flow Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-01,Bain,Consultant,Change Enablement and Adoption,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Bain Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-03,Budnick,Sr CRMBSA,Implementation and Delivery,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Budnick Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-04,Givebutter,Customer Education Specialist,Customer Success and Retention,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Givebutter Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-05,State Farm,Digital Experience Analytics Analyst,Implementation and Delivery,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - State Farm - Digital Experience Analytics Analyst Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-05,Flexport,"Account Manager I, Fulfillment",Customer Success and Retention,,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Flexport - Account Manager I, Fulfillment Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-05,Anord Mardix,Field Service Technical Support,Implementation and Delivery,,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Anord Mardix Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-05,Toast,"Senior Manager, Care Experience Management",Change Enablement and Adoption,,FAIL,Estrada_Resume_PreSales_CSM.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Toast - Senior Manager, Care Experience Management FAIL Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-05,ServiceTitan,"Customer Success Manager, Strategic",Customer Success and Retention,,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - ServiceTitan - Customer Success Manager, Strategic Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-05,ServiceTitan,"Customer Success Manager (Enterprise), Max",Customer Success and Retention,,,Estrada_Resume_PreSales_CSM.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - ServiceTitan - Customer Success Manager (Enterprise), Max Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-08,Ollie,"Data Analyst, Retention",Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Ollie - Data Analyst, Retention FAIL Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-08,Ollie,"Customer Experience Agent, HQ",Change Enablement and Adoption,,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Ollie FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-10,AppFolio,Revenue Operations Manager,Analytics and Operations,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - AppFolio - Revenue Operations Manager FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-10,Braven,Logistics Innovation Project Specialist,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Braven - Logistics Innovation Project Specialist FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-11,Procore,Senior Solutions Architect,Implementation and Delivery,Strong Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Procore - Senior Solutions Architect BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-13,MTech Systems,Implementation Specialist,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - MTech Systems - Implementation Specialist Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-13,Workiva,Implementation Consultant,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Workiva - Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-14,Clorox,This role supports the Network Optimization team by executing cost modeling and ,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Clorox - This role supports the Network Optimization team by executing cost modeling and FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-14,Clorox,Customer Supply Chain Manager,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Clorox - Customer Supply Chain Manager FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-14,Clorox,"Senior Analyst, Global External Manufacturing",Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Clorox - Senior Analyst, Global External Manufacturing FAIL Resume.docx",20260626_000806_Clorox_Senior_Analyst_Global_External_Manufacturing_f7d2b64b,,draft,,,Auto-tracked by resume workflow.
2026-06-14,Fiserv,Automation & Business Process Engineer,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Fiserv - Automation & Business Process Engineer FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-14,Fiserv,Professional Services Technical Consultant,Implementation and Delivery,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Fiserv - Professional Services Technical Consultant FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-14,Rheem,Enterprise Operations Strategy Director,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Rheem - Enterprise Operations Strategy Director FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-14,VensureHR,Senior Implementation Consultant,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - VensureHR - Senior Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-15,Kaiser Permanente,"IT Consultant V, Solutions",Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Kaiser Permanente - IT Consultant V, Solutions Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-15,Forvis Mazars,"Senior Consultant, ERP Services Delivery",Implementation and Delivery,Strong Fit,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Forvis Mazars - Senior Consultant, ERP Services Delivery Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-15,Tyler Technologies,Implementation Consultant,Implementation and Delivery,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Tyler Technologies - Implementation Consultant FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-15,Pearson,"Lead Specialist, Client Partner",Customer Success and Retention,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Pearson - Lead Specialist, Client Partner FAIL Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-15,Pearson,"Process Transformation Leader, AI-Enabled Workflows",Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Pearson FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-15,JBT Marel,Customer Support Manager,Change Enablement and Adoption,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - JBT Marel - Customer Support Manager Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-15,Bristlecone,Client Partner - Manufacturing,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Bristlecone Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-16,State Farm,Data Analyst - Direct to Consumer Digital Analytics,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - State Farm - Data Analyst - Direct to Consumer Digital Analytics FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-16,Accela,Consultant,Implementation and Delivery,Strong Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Accela - Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-17,Temp,Customer Experience,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Temp Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-17,Guidehouse,Managing Consultant- Infrastructure Resilience,Corporate Strategy and Consulting,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Managing Consultant- Infrastructure Resilience Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-17,Guidehouse,Strategy & Transformation Senior Consultant,Corporate Strategy and Consulting,Strong Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Strategy & Transformation Senior Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-18,Socomec,Customer Experience Solutions Lead,Implementation and Delivery,Strong Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Socomec - Customer Experience Solutions Lead Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-19,M-Tech Systems,Implementation Specialist (Project Consultant),Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - M-Tech Systems - Implementation Specialist (Project Consultant) Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-19,M-Tech Systems,Implementation Specialist (Project Consultant),Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - M-Tech Systems - Implementation Specialist (Project Consultant) Resume.docx,,,interview,1,,Latest debrief 6/19/2026: Feedback: ### Interview Process and Fit; Role language: - Title is “Implementation Specialist” in industry standard;...
2026-06-19,M-Tech Systems,Implementation Specialist (Project Consultant),Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - M-Tech Systems - Implementation Specialist (Project Consultant) Resume.docx,,,interview,1,,"Latest debrief 6/19/2026: Role language: Title is ""Implementation Specialist"" in industry standard; MTech calls it ""Project Consultant""; Implem..."
2026-06-19,M-Tech Systems,Implementation Specialist (Project Consultant),Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - M-Tech Systems - Implementation Specialist (Project Consultant) BRIDGE Resume.docx,,,interview,1,,Auto-tracked by resume workflow.
2026-06-19,Guidehouse,ERP Assessment Leader,Change Enablement and Adoption,Strong Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Guidehouse,Organization Development Consultant,Change Enablement and Adoption,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Organization Development Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Guidehouse,Requirements Documentation Analyst,Implementation and Delivery,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Requirements Documentation Analyst FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Barracuda,Partner Success Manager I,Customer Success and Retention,Stretch Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Barracuda - Partner Success Manager I BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,State Farm,Digital Marketing Data Analyst - Digital Channel Performance,Analytics and Operations,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - State Farm - Digital Marketing Data Analyst - Digital Channel Performance FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Guidehouse,Managing Consultant - Life Sciences Advisory - Market Access,Corporate Strategy and Consulting,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Managing Consultant - Life Sciences Advisory - Market Access FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Veeva Systems,Senior Consultant - Validation Management Software,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Veeva Systems - Senior Consultant - Validation Management Software Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Epiq,Advanced Technologies Consultant,Change Enablement and Adoption,Adjacent Fit,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Epiq - Advanced Technologies Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,BlackLine,Principal Presales Consultant,Pre-Sales and Solution Consulting,Stretch Fit,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - BlackLine - Principal Presales Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,SiteCare,Client Success Advisor,Customer Success and Retention,Adjacent Fit,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - SiteCare Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Acrisure,Solutions Architect,Implementation and Delivery,Stretch Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Acrisure - Solutions Architect Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-20,Acrisure,Program Manager,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Acrisure - Program Manager Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Guidehouse,Agile Project Manager,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Agile Project Manager BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Smoke Test Systems,Implementation Consultant,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Smoke Test Systems - Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Pre-Sales Solution Consultant,Pre-Sales Solution Consultant,Pre-Sales and Solution Consulting,Stretch Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Pre-Sales Solution Consultant FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Customer Success Manager,Customer Success Manager,Customer Success and Retention,Adjacent Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Customer Success Manager FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Implementation Project Manager,Implementation Project Manager,Implementation and Delivery,Stretch Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Implementation Project Manager Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Analytics Operations Analyst,Analytics Operations Analyst,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Analytics Operations Analyst FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Pearson,"Lead Specialist, Measurement",Implementation and Delivery,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Pearson - Lead Specialist, Measurement FAIL Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Change Enablement Lead,Change Enablement Lead,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Change Enablement Lead FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Acme HealthTech,Implementation Consultant,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Acme HealthTech - Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Quality Systems,Senior Implementation Consultant,Implementation and Delivery,Stretch Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Quality Systems - Senior Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
