date_added,company,role_title,lane_label,fit_status,audit_flag,source_resume,output_file,snapshot_id,applied_date,current_status,last_round,outcome,notes
2026-06-21,Growth Health,Technical Implementation Manager,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Growth Health - Technical Implementation Manager Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Clorox,Supply Chain Network Optimization Analyst,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Clorox - Supply Chain Network Optimization Analyst FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Acme Software,Solutions Implementation Consultant,Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Acme Software - Solutions Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Northwind Health,Change Enablement Lead,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Northwind Health - Change Enablement Lead FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Harbor Cloud,Customer Success Manager,Customer Success and Retention,Adjacent Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Harbor Cloud - Customer Success Manager FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Apex Revenue Systems,Pre-Sales Solution Consultant,Pre-Sales and Solution Consulting,Stretch Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Apex Revenue Systems - Pre-Sales Solution Consultant FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Beacon Insights,Analytics Operations Analyst,Analytics and Operations,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Beacon Insights - Analytics Operations Analyst FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Guidehouse,Partner Success Analyst,Implementation and Delivery,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Partner Success Analyst FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,JFrog,Technical Success Manager,Customer Success and Retention,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - JFrog - Technical Success Manager BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-21,Sourcewell,Senior Solution Consultant,Implementation and Delivery,Stretch Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\dev\Christian-Resume-System\output\Christian Estrada - Sourcewell - Senior Solution Consultant FAIL Resume.docx,20260713_005420_Sourcewell_Senior_Solution_Consultant_fc94eaab,,draft,,,Auto-tracked by resume workflow.
2026-06-22,Pearl,Customer Success Operations,Customer Success and Retention,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Pearl BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-22,CSC Corptax,Senior Software Product Consultant,Implementation and Delivery,Stretch Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - CSC Corptax - Senior Software Product Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-22,AlphaSense,"Implementation Consultant, Large Deployments",Implementation and Delivery,Strong Fit,BRIDGE,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - AlphaSense - Implementation Consultant, Large Deployments BRIDGE Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-22,Dematic,Solution Consultant,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\dev\Christian-Resume-System\output\Christian Estrada - Dematic - Solution Consultant FAIL Resume.docx,20260713_180043_Dematic_Solution_Consultant_12c6c652,,draft,,,Auto-tracked by resume workflow.
2026-06-22,Blackboard,Technical Strategist,Corporate Strategy and Consulting,Strong Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Blackboard BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Stord,Solutions Consultant,Pre-Sales and Solution Consulting,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Stord - Solutions Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,BlueCherry,Integrations Functional Consultant,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - BlueCherry - Integrations Functional Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Circana,Business Insights and Technology Consultant,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Circana - Business Insights and Technology Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Aptean,"Lead Implementation Consultant, ERP (Apparel)",Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Aptean - Lead Implementation Consultant, ERP (Apparel) BRIDGE Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Guidehouse,Senior Consultant - Organizational Change Management - Healthcare Technology Con,Change Enablement and Adoption,Strong Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Guidehouse - Senior Consultant - Organizational Change Management - Healthcare Technology Con BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Acumatica,ERP Implementation Consultant,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Acumatica - ERP Implementation Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Spotnana,Solutions Consultant,Pre-Sales and Solution Consulting,Stretch Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Spotnana - Solutions Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,SailPoint,Advisory Solution Consultant,Pre-Sales and Solution Consulting,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - SailPoint - Advisory Solution Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Euna Solutions,Solutions Consultant,Pre-Sales and Solution Consulting,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Euna Solutions - Solutions Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Juniper Square,Senior Technical Consultant,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Juniper Square - Senior Technical Consultant BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,OMP,Supply Chain Implementation Consultant,Implementation and Delivery,Stretch Fit,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - OMP - Supply Chain Implementation Consultant Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Shopify,Professional Services Delivery Manager,Change Enablement and Adoption,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Shopify - Professional Services Delivery Manager BRIDGE Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-23,Intuit,"Senior Pre-Sales Engineer, Mid Market",Pre-Sales and Solution Consulting,Stretch Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Intuit - Senior Pre-Sales Engineer, Mid Market BRIDGE Resume.docx",20260623_235638_Intuit_Senior_Pre-Sales_Engineer_Mid_Market_72e16f13,,draft,,,Auto-tracked by resume workflow.
2026-06-24,DailyPay,Implementation Manager,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - DailyPay - Implementation Manager BRIDGE Resume.docx,20260624_190731_DailyPay_Implementation_Manager_9e42a1d9,,draft,,,Auto-tracked by resume workflow.
2026-06-24,State Farm,"Product Analyst, Sharing Economy",Implementation and Delivery,Stretch Fit,BRIDGE,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - State Farm - Product Analyst, Sharing Economy BRIDGE Resume.docx",20260624_194024_State_Farm_Product_Analyst_Sharing_Economy_0407c47f,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Delta Air Lines,"Product Manager, Airport Customer Service",Change Enablement and Adoption,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Delta Air Lines - Product Manager, Airport Customer Service BRIDGE Resume.docx",20260624_200636_Delta_Air_Lines_Product_Manager_Airport_Customer_Service_5688d989,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Delta Air Lines,"Project Manager, Crew Mod Implementation",Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Delta Air Lines - Project Manager, Crew Mod Implementation Resume.docx",20260624_201906_Delta_Air_Lines_Project_Manager_Crew_Mod_Implementation_543d1c79,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Crowe,Performance Improvement Operations Consulting Manager,Corporate Strategy and Consulting,Strong Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Crowe - Performance Improvement Operations Consulting Manager BRIDGE Resume.docx,20260624_221303_Crowe_Performance_Improvement_Operations_Consulting_Manager_10e5e8ca,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Intapp,Senior Technical Consultant,Implementation and Delivery,Stretch Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Intapp - Senior Technical Consultant BRIDGE Resume.docx,20260624_223257_Intapp_Senior_Technical_Consultant_106af544,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Liberty Mutual,"Technical Consultant, Risk Control Consulting Center",Implementation and Delivery,Adjacent Fit,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Liberty Mutual - Technical Consultant, Risk Control Consulting Center Resume.docx",20260624_224044_Liberty_Mutual_Technical_Consultant_Risk_Control_Consulting_Center_7f8562e7,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Cority,"Technical Consultant, Risk Control Consulting Center",Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Cority - Technical Consultant, Risk Control Consulting Center BRIDGE Resume.docx",20260624_224825_Cority_Technical_Consultant_Risk_Control_Consulting_Center_0b4f3786,,draft,,,Auto-tracked by resume workflow.
2026-06-24,Cognizant,Consultant,Implementation and Delivery,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Cognizant - Consultant FAIL Resume.docx,20260624_225451_Cognizant_Consultant_4b42d47f,,draft,,,Auto-tracked by resume workflow.
2026-06-25,QTS Data Centers,Procurement Systems Data Analyst,Analytics and Operations,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - QTS Data Centers - Procurement Systems Data Analyst BRIDGE Resume.docx,20260625_090856_QTS_Data_Centers_Procurement_Systems_Data_Analyst_0f8474cb,,draft,,,Auto-tracked by resume workflow.
2026-06-25,Worldpay,Sales Solutions Consultant,Pre-Sales and Solution Consulting,Stretch Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Worldpay - Sales Solutions Consultant BRIDGE Resume.docx,20260625_142406_Worldpay_Sales_Solutions_Consultant_495becd8,,draft,,,Auto-tracked by resume workflow.
2026-06-25,QTS,Sales Operations Analyst,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - QTS - Sales Operations Analyst BRIDGE Resume.docx,20260625_152734_QTS_Sales_Operations_Analyst_e8c2a141,,draft,,,Auto-tracked by resume workflow.
2026-06-25,QTS,Procurement Analyst,Analytics and Operations,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - QTS - Procurement Analyst BRIDGE Resume.docx,20260625_164602_QTS_Procurement_Analyst_147ca61f,,draft,,,Auto-tracked by resume workflow.
2026-06-25,ArcherPoint,ERP Project Manager,Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - ArcherPoint - ERP Project Manager BRIDGE Resume.docx,20260625_220116_ArcherPoint_ERP_Project_Manager_bbf9090d,,draft,,,Auto-tracked by resume workflow.
2026-06-25,ArcherPoint,Implementation Consultant,Change Enablement and Adoption,Stretch Fit,POOR,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - ArcherPoint - Implementation Consultant POOR Resume.docx,20260625_221132_ArcherPoint_Implementation_Consultant_90283c4a,,draft,,,Auto-tracked by resume workflow.
2026-06-26,Braven,"Associate Director, Project Management",Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Braven - Associate Director, Project Management BRIDGE Resume.docx",20260626_230909_Braven_Associate_Director_Project_Management_249b1871,,draft,,,Auto-tracked by resume workflow.
2026-06-29,State Farm,Technical Administrator,Implementation and Delivery,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,/sessions/wizardly-funny-ritchie/mnt/Christian Resume System/output/Christian Estrada - State Farm FAIL Resume.docx,20260629_033910_State_Farm_Technical_Administrator_e934e33a,,draft,,,Auto-tracked by resume workflow.
2026-06-29,Temp Agency,Business Process Analyst,Implementation and Delivery,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,/sessions/wizardly-funny-ritchie/mnt/Christian Resume System/output/Christian Estrada - Temp Agency - Business Process Analyst FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-29,Plataine,Solution Engineer,Implementation and Delivery,Stretch Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Plataine - Solution Engineer BRIDGE Resume.docx,20260629_173936_Plataine_Solution_Engineer_49edc92b,,draft,,,Auto-tracked by resume workflow.
2026-06-29,Revive ERP,Implementation Specialist,Implementation and Delivery,Adjacent Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Revive ERP - Implementation Specialist FAIL Resume.docx,20260708_233418_Revive_ERP_Implementation_Specialist_c511baff,,draft,,,Auto-tracked by resume workflow.
2026-06-30,Pax8,Solution Consultant,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Pax8 - Solution Consultant FAIL Resume.docx,20260630_185427_Pax8_Solution_Consultant_cd1aa47c,,draft,,,Auto-tracked by resume workflow.
2026-06-30,Iterable,Solutions Consultant,Pre-Sales and Solution Consulting,Stretch Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Iterable - Solutions Consultant BRIDGE Resume.docx,20260630_200133_Iterable_Solutions_Consultant_46b4bf1b,,draft,,,Auto-tracked by resume workflow.
2026-06-30,ECI Software Solutions,Implementation Consultant,Implementation and Delivery,Stretch Fit,BRIDGE,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - ECI Software Solutions - Implementation Consultant BRIDGE Resume.docx,20260630_233525_ECI_Software_Solutions_Implementation_Consultant_01a9d54b,,draft,,,Auto-tracked by resume workflow.
2026-07-01,RingCentral,AI Forward Deployed Engineer,Pre-Sales and Solution Consulting,Stretch Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - RingCentral - AI Forward Deployed Engineer BRIDGE Resume.docx,20260701_191533_RingCentral_AI_Forward_Deployed_Engineer_c40cff26,,draft,,,Auto-tracked by resume workflow.
2026-07-01,QTS Data Centers,"Legal Operations Specialist, Technology and AI",Implementation and Delivery,Adjacent Fit,BRIDGE,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - QTS Data Centers - Legal Operations Specialist, Technology and AI BRIDGE Resume.docx",20260701_213830_QTS_Data_Centers_Legal_Operations_Specialist_Technology_and_AI_a6b4f687,,draft,,,Auto-tracked by resume workflow.
2026-07-01,Google,"Technical Account Manager, Google Cloud Consulting",Implementation and Delivery,Strong Fit,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Google - Technical Account Manager, Google Cloud Consulting Resume.docx",20260701_204802_Google_Technical_Account_Manager_Google_Cloud_Consulting_4abcd8b1,,draft,,,Auto-tracked by resume workflow.
2026-07-01,Atomicwork,Enterprise Solution Consultant,Pre-Sales and Solution Consulting,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Atomicwork - Enterprise Solution Consultant BRIDGE Resume.docx,20260701_213519_Atomicwork_Enterprise_Solution_Consultant_457a4790,,draft,,,Auto-tracked by resume workflow.
2026-07-01,Deel,"Implementation Consultant I, Enterprise",Implementation and Delivery,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Deel - Implementation Consultant I, Enterprise FAIL Resume.docx",20260701_214002_Deel_Implementation_Consultant_I_Enterprise_e37de854,,draft,,,Auto-tracked by resume workflow.
2026-07-01,Tyfone,Solutions Consultant,Change Enablement and Adoption,Stretch Fit,FAIL,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Tyfone - Solutions Consultant FAIL Resume.docx,20260701_214807_Tyfone_Solutions_Consultant_931b23b8,,draft,,,Auto-tracked by resume workflow.
2026-07-01,Bonterra,Implementation Consultant,Implementation and Delivery,Strong Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Bonterra - Implementation Consultant BRIDGE Resume.docx,20260701_232721_Bonterra_Implementation_Consultant_6f74ac52,,draft,,,Auto-tracked by resume workflow.
2026-07-08,Bitwarden,Digital Customer Success Manager,Customer Success and Retention,Adjacent Fit,BRIDGE,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Bitwarden - Digital Customer Success Manager BRIDGE Resume.docx,20260708_123825_Bitwarden_Digital_Customer_Success_Manager_3c8740e9,,draft,,,Auto-tracked by resume workflow.
